date_time,max_spheres,ray_depth,num_spheres,block_size,implementation,openmp_time_s,kernel_time_s,memory_transfer_time_s,total_without_mem_s,total_with_mem_s,throughput_mpixels_sec,speedup_vs_openmp_kernel,speedup_vs_openmp_with_mem
2026-05-14_10-06-52,512,50,200,128,GLOBAL,656.234,12.225,0.005,12.225,12.230,0.033504,53.677866,53.657279
2026-05-14_10-06-52,512,50,200,128,CONSTANT,656.234,11.808,0.010,11.808,11.818,0.034688,55.575091,55.528311
2026-05-14_10-06-52,512,50,200,128,SHARED,656.234,12.016,0.010,12.016,12.026,0.034087,54.611715,54.566455
2026-05-14_10-06-52,512,50,200,128,1D TEXTURE,656.234,12.215,0.004,12.215,12.219,0.033534,53.725358,53.707346
2026-05-14_10-06-52,512,50,200,128,2D TEXTURE,656.234,12.205,0.004,12.205,12.209,0.033560,53.768354,53.749633
2026-05-14_10-06-52,512,50,200,128,2D TEXTURE + CONSTANT,656.234,11.851,0.010,11.851,11.860,0.034564,55.375529,55.329716
2026-05-14_10-06-52,512,50,200,128,REALISTIC,656.234,12.203,0.004,12.203,12.207,0.033565,53.776250,53.758803
2026-05-14_10-19-14,512,50,200,128,OPENMP,655.683,655.683,0.000,655.683,655.683,0.000625,1.000000,1.000000
2026-05-14_10-19-14,512,50,200,128,GLOBAL,655.683,12.258,0.005,12.258,12.263,0.033415,53.489657,53.469235
2026-05-14_10-19-14,512,50,200,128,CONSTANT,655.683,11.807,0.011,11.807,11.818,0.034691,55.533381,55.480875
2026-05-14_10-19-14,512,50,200,128,SHARED,655.683,11.987,0.011,11.987,11.998,0.034170,54.698479,54.647541
2026-05-14_10-19-14,512,50,200,128,1D TEXTURE,655.683,12.195,0.004,12.195,12.199,0.033589,53.768178,53.750004
2026-05-14_10-19-14,512,50,200,128,2D TEXTURE,655.683,12.232,0.004,12.232,12.236,0.033487,53.604944,53.586529
2026-05-14_10-19-14,512,50,200,128,2D TEXTURE + CONSTANT,655.683,11.826,0.011,11.826,11.837,0.034636,55.444606,55.392795
2026-05-14_10-19-14,512,50,200,128,REALISTIC,655.683,12.239,0.004,12.239,12.243,0.033466,53.572640,53.555396
2026-05-14_10-31-36,512,50,200,256,OPENMP,656.171,656.171,0.000,656.171,656.171,0.000624,1.000000,1.000000
2026-05-14_10-31-36,512,50,200,256,GLOBAL,656.171,13.424,0.005,13.424,13.428,0.030513,48.881186,48.864157
2026-05-14_10-31-36,512,50,200,256,CONSTANT,656.171,12.382,0.016,12.382,12.398,0.033081,52.994539,52.925397
2026-05-14_10-31-36,512,50,200,256,SHARED,656.171,12.483,0.016,12.483,12.500,0.032812,52.563700,52.495685
2026-05-14_10-31-36,512,50,200,256,1D TEXTURE,656.171,13.391,0.004,13.391,13.395,0.030588,49.000783,48.985797
2026-05-14_10-31-36,512,50,200,256,2D TEXTURE,656.171,13.405,0.004,13.405,13.409,0.030555,48.948427,48.934028
2026-05-14_10-31-36,512,50,200,256,2D TEXTURE + CONSTANT,656.171,12.409,0.016,12.409,12.425,0.033008,52.877985,52.809568
2026-05-14_10-31-36,512,50,200,256,REALISTIC,656.171,13.399,0.004,13.399,13.403,0.030570,48.972125,48.956743
2026-05-14_10-44-04,512,50,200,256,OPENMP,655.777,655.777,0.000,655.777,655.777,0.000625,1.000000,1.000000
2026-05-14_10-44-04,512,50,200,256,GLOBAL,655.777,13.468,0.005,13.468,13.472,0.030414,48.692996,48.676065
2026-05-14_10-44-04,512,50,200,256,CONSTANT,655.777,12.404,0.010,12.404,12.413,0.033023,52.870287,52.828165
2026-05-14_10-44-04,512,50,200,256,SHARED,655.777,12.473,0.010,12.473,12.483,0.032840,52.577119,52.535471
2026-05-14_10-44-04,512,50,200,256,1D TEXTURE,655.777,13.397,0.004,13.397,13.401,0.030574,48.948916,48.933908
2026-05-14_10-44-04,512,50,200,256,2D TEXTURE,655.777,13.408,0.004,13.408,13.412,0.030548,48.908509,48.894170
2026-05-14_10-44-04,512,50,200,256,2D TEXTURE + CONSTANT,655.777,12.403,0.010,12.403,12.413,0.033024,52.872258,52.830592
2026-05-14_10-44-04,512,50,200,256,REALISTIC,655.777,13.398,0.004,13.398,13.402,0.030572,48.945968,48.930636
2026-05-14_10-56-32,512,50,200,256,OPENMP,656.028,656.028,0.000,656.028,656.028,0.000624,1.000000,1.000000
2026-05-14_10-56-32,512,50,200,256,GLOBAL,656.028,13.492,0.005,13.492,13.497,0.030358,48.622386,48.605527
2026-05-14_10-56-32,512,50,200,256,CONSTANT,656.028,12.412,0.013,12.412,12.425,0.033001,52.855392,52.798583
2026-05-14_10-56-32,512,50,200,256,SHARED,656.028,12.510,0.013,12.510,12.523,0.032743,52.441426,52.385513
2026-05-14_10-56-32,512,50,200,256,1D TEXTURE,656.028,13.430,0.004,13.430,13.434,0.030500,48.849537,48.834578
